BookId,Title,Description,Author,Publisher
6e896e24-9c69-44b5-bb39-8e37558c219f,"Boys in the Band, The","Replacement of R Ethmoid Bone with Autol Sub, Perc Approach",Greg Ingarfill,Linkbuzz
b2593912-4cd3-42f4-a877-bb8bfa595715,So Fine,"Occlusion of Left Main Bronchus, Endo",Etheline Sloam,Zoozzy
f9dbeb72-b853-4f0c-bafb-9c8dd687b71d,Eaux d'artifice,"Supplement L Up Extrem Lymph with Autol Sub, Open Approach",Anette Cleworth,Vidoo
331d2f7a-388d-4980-a66f-740af866e8f3,Joysticks,"Occlusion of R Int Carotid with Extralum Dev, Open Approach",Anette Arnet,Photobean
6200f0a2-fcaa-495f-b330-5e6ffbabff7b,Johnny Cash at Folsom Prison,"Occlusion of Stomach, Pylrs with Extralum Dev, Perc Approach",Adore Petracek,Yodo
cccb8993-0e78-4fdc-af19-f3fd847b951e,Funny Bones,"Replace Scalp Skin w Autol Sub, Part Thick, Extern",Cash Parfrey,Edgeblab
e562c318-5d37-4b8e-b0ce-c751962a8a84,"Blossoming of Maximo Oliveros, The (Ang pagdadalaga ni Maximo Oliveros)","Supplement Right Clavicle with Autol Sub, Perc Endo Approach",Josie Beaglehole,Fadeo
c19bfa92-c071-4976-bfac-fb7751c7fdaa,Not Safe for Work,"Restriction of Upper Artery with Extralum Dev, Open Approach",Raviv Wigan,Gigazoom
4e9ed46d-3b8c-42fe-b8df-45e826ebdc9e,Negative Happy Chainsaw Edge (Negatibu happî chênsô ejji),"Dilate R Renal Art w 3 Intralum Dev, Perc Endo",Jacklin Gannicleff,Gigaclub
bfb3c8fd-69c0-439c-9697-de62446b1e3b,Quod erat demonstrandum,"Drainage of Left Hip Tendon with Drain Dev, Open Approach",Garret Denny,Edgeclub
e1d52f85-7ef1-4c36-bc17-16920532122a,Nokas,"Insert Tissue Expander in Chest Subcu/Fascia, Open",Kristopher Landon,Feedfire
c233f441-4541-4de2-a10d-4d9b82a48d5e,Hellfighters,"Revision of Autol Sub in Mouth/Throat, Perc Approach",Trefor Gladeche,Centimia
5c024f59-637c-4ee0-b096-5bfbb4af2285,Once Upon a Time in the Midlands,"Extirpate matter from R Seminal Vesicle, Perc Endo",Scottie Kenton,Reallinks
b7fd1aed-2cbd-4379-9fd1-2c5d2280cdc8,"Welcome Home, Roxy Carmichael","Supplement Urethra with Synth Sub, Perc Endo Approach",Corette Presley,Quire
75b1038c-a491-483f-a2b5-0e47c8ed93ec,Vatel,"Dilate L Ext Iliac Art w 4+ Intralum Dev, Perc",Eugenius Madelin,Tambee
923b8b80-c2f1-4283-9e4b-b646ae68a793,"Big Lebowski, The","Supplement Right Foot Artery with Nonaut Sub, Open Approach",Nikolia Putson,Yakijo
6a66f611-d4e7-4384-b1cb-680ce5b7b1ee,Heiter bis wolkig,"Removal of Intraluminal Device from Nose, Perc Approach",Sean McGuiney,Zoonder
879010bd-e627-4646-85ed-9c59b76733be,"Stranger, The (Straniero, Lo)","Supplement Right Lacrimal Duct with Autol Sub, Open Approach",Sherie FitzGilbert,Bubblebox
d6e902a2-ff51-4e73-974b-996204476f45,Finder's Fee,"Extirpation of Matter from Right Vas Deferens, Perc Approach",Genevra Tudball,Zoonder
2d7515c1-8463-4127-83c2-c9063781157a,"Southern Yankee, A",Plain Radiography of Right Patella,Frants Baterip,Riffpedia
6d9585ee-a96e-41f9-bd3a-c02a060b92d1,Wag the Dog,"Replace R Int Jugular Vein w Synth Sub, Perc Endo",Celestyna Stot,Meemm
7198bdf7-e511-4589-ad07-d0285822ce2f,Kumaré,"Insert of Monopln Ext Fix into R Radius, Perc Endo Approach",Hardy Clowney,Trudeo
bc171f61-d0e5-42d0-a16b-e78dc9c0b73e,Jay Mohr: Funny for a Girl,Dressing Techniques Treatment using Other Equipment,Robyn Oddey,Fadeo
d4beda9e-6dbe-4c88-98cb-12e7382a07b7,The Land Before Time IX: Journey to the Big Water,"Replacement of Perineum Tendon with Synth Sub, Open Approach",Pepito Pallaske,Yombu
80e46e95-56a3-49de-95ec-25dd8991ade5,Fast Food,"Removal of Other Device from Mediastinum, Perc Endo Approach",Rolf Schuler,Buzzdog
b1327de0-4b1c-416e-b4b0-0658d89eba42,Lady of Burlesque,"Dilation of Left Hepatic Duct with Intraluminal Device, Endo",Gray Cowper,Ainyx
02a6dd6e-77bf-4c15-8f3c-93be3e9ab245,Jade Warrior (Jadesoturi),"Destruction of R Com Carotid, Perc Endo Approach",Darrell Aubray,Aimbu
baf81e63-2d0b-4603-a5c1-300269066954,Bordertown,"Resection of Vestibular Gland, External Approach",Randolph Mottram,Abata
3605bed9-2008-4695-88f2-c025e4ed7fec,She,"Reattachment of Left Axilla, Open Approach",Matthiew Kleynermans,Kwilith
9a9eb6fa-b48a-454a-8140-29594d733c8f,Street Thief,Exercise Treatment of Circ Low Back/LE using Orthosis,Falito Daens,Teklist
73270278-c712-412c-9d1c-b26001f207c5,"Smurfs, The","Dilation of R Com Carotid with 2 Intralum Dev, Perc Approach",Norman O'Giany,Kwideo
28bbb0d7-af9b-4128-b6b2-4e9589ea46d7,Stolen (Stolen Lives),"Excision of Cisterna Chyli, Open Approach",Nevil Jennemann,Wikizz
b5cff9ee-2b07-472e-a27c-3b077b17a864,"Death of the Incredible Hulk, The","Removal of Infusion Device from Low Art, Extern Approach",Friedrich Supple,Voomm
06e1f1ce-a340-4b57-ab5e-bc2f0f08f33e,Shinobi: Heart Under Blade,"Reposition Right Metatarsal-Tarsal Joint, External Approach",Bobina Palfreeman,Bluezoom
ae5e2791-2e81-43d3-8341-c480d29d49a9,As You Like It,"Bypass Thor Aorta Desc to R Pulm Art w Autol Art, Open",Hartwell Swepstone,Kaymbo
ec83a68a-de02-4368-99c4-6e2843f935d4,About a Boy,"Bypass Cereb Vent to Periton Cav w Synth Sub, Open",Conrade Parcall,Photolist
ad6488aa-c26f-4ed2-965c-a11065aa14af,And So It Goes,Cochlear Implant Assessment,Jesse Hammarberg,Vidoo
9e7bd2a3-2a26-4c05-ba8a-76378e7dfb3a,Lucky Luke: The Ballad of the Daltons,"Insertion of Infusion Device into Lum Jt, Open Approach",Tanny Laing,Devbug
01c5af54-7c8e-477a-a822-2b9a63624a8d,All is Bright,"Drainage of Right Thyroid Gland Lobe, Perc Approach, Diagn",Bari Ousley,Lajo
31b8801c-e654-437c-bf7a-113e099d5283,Red Corner,"Dilation of Com Bile Duct with Intralum Dev, Open Approach",Tyrone Feasey,Twitterwire
1745bc18-930d-49fc-ac6f-667c149e0277,The Facts of Murder,"Ultrasonography of Bi Com Carotid, Intravasc",Queenie Taggett,Kanoodle
6565723f-3c71-4a6f-b2c7-74d8b83ec667,Quatermass and the Pit,"Extirpate of Matter from R Thorax Muscle, Perc Endo Approach",Starlene Abilowitz,Aimbo
43b8b0fb-6a2a-46ae-9c86-a6a9f872e1f3,"Magic Voyage of Sindbad, The (Sadko)",Motor Speech Treatment using Speech Analysis Equipment,Nananne Ipwell,Babbleblab
b42c2f50-c423-458a-9e0c-8d1f3bc9290f,"Against One Another, Virtually Friends","Release Right Sphenoid Sinus, Percutaneous Approach",Yolanda Harnell,Zoonder
3a59b72f-638e-429a-b238-1c5f02f02a93,Miss Austen Regrets,"Restrict of R Subclav Art with Extralum Dev, Perc Approach",Cinda Rougier,Izio
4afe543a-ce29-4e2f-91ca-2a482aa8b376,Pittsburgh,"Excision of R Tympanic Membrane, Perc Endo Approach, Diagn",Remus Crosfield,Quire
b4ead1ed-a76c-4afb-ad2c-3fa135c605f5,National Velvet,"Revision of Autol Sub in Nose, Open Approach",Matty Beardshaw,Eazzy
8e939945-6b70-4321-95c2-0920aa978e2f,Kvarteret Skatan reser till Laholm,"Drainage of Azygos Vein, Percutaneous Endoscopic Approach",Mano Sieghard,Nlounge
0ec1048a-9491-4c86-be4c-4d080e8d1ca5,Eddie Murphy Delirious,"Drainage of Larynx, Open Approach",Dollie Panswick,Linkbridge
fcf1c496-576f-4c34-a429-3b206b7c0535,Eyes of an Angel,"Lower Joints, Insertion",Dilly Megson,Meevee
228389c2-a6e0-4063-8b34-99484b782afb,"Brief History of Time, A","Excision of Lower Tooth, External Approach, Single",Derek Renol,Skyndu
bce3b05e-4141-478a-a48b-51de9dca22e2,Evolution,"Removal of Drain Dev from R Sternoclav Jt, Perc Approach",Gustavo Mattusevich,Innotype
a91b2d8d-a22e-4831-90c2-cce92ea8bf8c,Swingers,"Excision of L Subclav Art, Perc Endo Approach, Diagn",Roby Drewson,Buzzshare
42f5cda7-170c-466d-812c-d2fa99cbb823,Churchill: The Hollywood Years,Fluoroscopy of Bilateral Renal Veins using Other Contrast,Saunders Howel,Skibox
84c2ce8c-71d8-40cc-8ee6-06e3bbbc1f29,Macario,"Removal of Nonaut Sub from Peritoneum, Open Approach",Karleen Chetwind,Topicware
b02252ce-faba-4c60-961e-a515d1efa3fa,Berlin Babylon,"Removal of Int Fix from L Sacroiliac Jt, Perc Approach",Tuesday Fosh,Vidoo
94af96ef-ede0-4aac-a5f9-240720be554d,Sphinx,"Revision of Intralum Dev in Pancreas, Perc Endo Approach",Godfree Orth,Jabbersphere
cd1a6584-7ae9-491d-bf88-76c77bbcff1e,American Splendor,"Resection of Nose, Percutaneous Endoscopic Approach",Tonnie Cockram,Eire
d6b6551f-7a21-4f3d-a63e-69332d4d67b0,Prata Palomares,"Supplement Left Femoral Shaft with Synth Sub, Perc Approach",Marje By,Topiclounge
2f56e938-372c-49aa-8bf2-1b36a75dbfb9,Alla älskar Alice,"Beam Radiation of Eye using Electrons, Intraoperative",Milton Wallen,Edgeblab
56234cda-b15e-4b40-abef-886b39c9edb5,"Tale of Two Sisters, A (Janghwa, Hongryeon)",Staggered Spondaic Word Assessment using Audiometer,Kathryne McLese,Oyondu
319ac95e-09e3-44c3-9b9e-c5bc2cdc9105,When Father Was Away on Business (Otac na sluzbenom putu),"Supplement L Wrist with Autol Sub, Perc Endo Approach",Thaxter Cracie,Meetz
089fbfdf-fc17-4aad-bf92-98921204fa71,Red Ensign,LDR Brachytherapy of Urethra using Iodine 125,Edlin McMychem,Shuffledrive
9cb3ca35-b81d-47ef-9fbc-40a22c57956d,Up in Arms,"Supplement L Ext Iliac Vein with Synth Sub, Perc Approach",Kirby Faltin,Jabbersphere
68ded6d3-721d-464b-9755-66a33c9aa8f5,Mahjong (Ma jiang),"Insertion of Oth Dev into R Up Extrem, Perc Endo Approach",Melita Hinckley,Ntags
475a7ac4-cfb5-4a9d-8769-f03ccc905d23,Amu,"Bypass Sup Vena Cava to R Pulm Vn w Nonaut Sub, Perc Endo",Sylvester Courteney,Riffwire
88fa4376-cc7c-4f77-bfc0-7aa6b51fbe33,American Pie Presents Beta House (American Pie 6: Beta House),"Supplement R Low Femur with Nonaut Sub, Perc Endo Approach",Rodrick O'Lehane,Topicblab
ab00dc9c-8e4e-4690-9f10-1f85bab388eb,Sorority Babes in the Slimeball Bowl-O-Rama,Change Packing Material on Right Upper Leg,Tammy Percifer,Fivespan
1795c2c1-c3e3-4d5e-95f1-87a526f43069,The Inspector,"Insertion of Limb Length Dev into R Radius, Open Approach",Moritz Sign,Lazzy
b4425b34-3bc3-426b-9e00-fdbeefbd29c8,Neverwhere,"Reattachment of Left Hand Muscle, Perc Endo Approach",Abner Lochead,Trilia
a977622a-d106-491e-8d24-5a705fca9af7,"Armstrong Lie, The","Inspection of Pleura, Percutaneous Approach",Cara Hens,Browsebug
105d008a-e9da-4352-b2d2-e2587b62baf8,"Bling Ring, The","Dilation of Left Hepatic Duct, Via Opening",Pasquale Upsale,Innotype
d6e28f55-177e-4801-b47f-55eaae073801,"Flintstones in Viva Rock Vegas, The","Removal of Autol Sub from Male Perineum, Extern Approach",Chrystel Flury,Zoomcast
b7fd60e5-c776-47f3-9521-52e2acadddce,"Ella Lola, a la Trilby","Repair Right Lower Lung Lobe, Open Approach",Marie-ann Merrywether,Vipe
41109c12-4a19-4387-9245-0b11f390a1a9,How to Survive a Plague,"Excision of Right Lower Arm, Percutaneous Approach",Jaye Mosco,Layo
71e3aef3-5bd4-4cbf-93cb-a855171df76c,It Runs in the Family,"Supplement Anus with Nonaut Sub, Extern Approach",Edita Dossit,Demivee
cc919954-099b-4b8a-80a1-f1249d89d439,Skinwalkers,Beam Radiation of Face Skin using Electrons,Addie Davitashvili,Eabox
e2d56896-23a5-430f-8eb2-fc229b544e54,"Honeymooners, The","Remove Infusion Dev from Up Intest Tract, Perc Endo",Livia Demangeon,Cogibox
4c881654-5a20-4167-8240-76a9c2aeef8c,Flight of the Living Dead,"Dilate R Int Mamm Art, Bifurc, w 4 Drug-elut, Perc Endo",Traver Petriello,Skajo
c1959a9b-43b9-4f7f-bf1d-a43eeca2788e,"Time for Drunken Horses, A (Zamani barayé masti asbha)","Drainage of Left External Ear with Drain Dev, Open Approach",Diane Merrifield,Podcat
48185e66-1139-4b33-8152-1dbb370ec208,"Forbidden Christ, The (Cristo proibito, Il)","Release R Low Leg Subcu/Fascia, Extern Approach",Margery Blackall,Wikido
dabb6c0b-9737-4986-84d3-2d49d2fb6836,Storm of the Century,"Supplement L Inqnl Lymph with Autol Sub, Open Approach",Lowrance Charnley,Browsebug
470fb5da-3875-422c-b0c9-23a15288c37f,Career,"Supplement R Kidney Pelvis w Nonaut Sub, Perc Endo",Hamilton Klesse,Babbleblab
83812113-f76d-486a-8e37-21b8dce8ee5a,Stealing Rembrandt (Rembrandt),"Restriction of L Hand Art with Extralum Dev, Open Approach",Nicolle Duckerin,Zooveo
7310df94-2fa7-4657-8737-47712732e4f9,My Neighbors the Yamadas (Hôhokekyo tonari no Yamada-kun),"Occlusion of Right External Carotid Artery, Perc Approach",Kelcey Zeale,Bubblemix
c3c3dddb-a589-4f3d-ac03-4c2b206e6e44,Miss Sweden (Fröken Sverige),"Release Left Metacarpophalangeal Joint, Open Approach",Lurette Becconsall,Voomm
a46da519-fce5-4c2b-879c-e2fc6590dda1,Deep Impact,"Inspection of Bilateral Femoral Region, Perc Endo Approach",Nikola Shattock,Avaveo
3373318f-ced8-4a18-b67c-a368b8fa10f0,Fellini: I'm a Born Liar (Fellini: Je Suis um Grand Menteur),"Dilation of 4+ Cor Art with 4 Drug-elut, Perc Endo Approach",Maurie Sandy,Livetube
4d3615fc-2729-470b-a41d-0d11675a9b51,Delicatessen,"Replacement of Pericardium with Synth Sub, Open Approach",Terry D'Adamo,Yacero
73ac3863-f0dd-4e83-87fa-66471a159d29,Letters from Iwo Jima,"Dilate Inf Mesent Art, Bifurc, w 4 Drug-elut, Perc Endo",Raffaello Roback,Photofeed
b36d8a20-02f2-4798-bd81-c9a312ebd668,Jim Gaffigan: Mr. Universe,"Drainage of L Int Mamm Art with Drain Dev, Open Approach",Jessy Scroggie,Ooba
7e4d07bc-e5ca-4e04-877b-71a40a941ea4,Wicked Little Things,"Dilation of Lower Vein with Intralum Dev, Perc Endo Approach",Brana Daunter,Meembee
6add4cfa-7143-44b1-b3e8-20454a1a8c0e,Terminator Salvation,Planar Nucl Med Imag of Up GI Tract using Indium 111,Trumaine Tinkham,Skynoodle
7a29da3f-ad89-4b9a-964a-2660486d730c,My Dog Tulip,"Supplement Left Femoral Vein with Autol Sub, Open Approach",Lucius Ruffles,Edgewire
0670095f-c01f-4092-a563-cbc6a511b328,Saint Jack,"Repair Male Reproductive System in POC, Endo",Lionello Palin,Skyba
9c2aa3d4-e18c-476e-99fb-3061b9c6d3bd,Too Much Sleep,"Excision of Uterus, Endo",Ranna Berlin,Rhycero
3d82a53e-069b-480f-82aa-70620af3cfdc,Rich and Strange,"Bypass R Com Iliac Art to B Renal A w Autol Art, Open",Wayne Cator,Twimm
e3794fd8-bad7-4dcc-a599-9139529db29b,Do You Like Hitchcock? (Ti piace Hitchcock?),"Drainage of Left Nipple, Percutaneous Approach",Fionnula Fulle,Oyonder
999cd6a8-b4d8-473f-b5f6-6e8f28a13385,Barbara,"Destruction of Right Peroneal Artery, Perc Endo Approach",Reine Abrahamsen,Twitterbeat
84fac7dc-f7a1-45ad-906f-07684eadb418,Shadow People,"Wound Mgmt Treatment of Integu Head, Neck using Prosthesis",Freddie Cammish,Vipe
7f805008-d058-46c4-ad05-fc28b8c91ec5,The Substitute 2: School's Out,"Restriction of L Fem Art with Intralum Dev, Open Approach",Yolanda Goring,Demizz
51e182c0-e8da-4d6c-96f1-b9ac1c84f946,Afternoon Delight,"Fragmentation in Bladder Neck, Via Opening",Agretha Vesty,Youfeed
8b567e08-a2b2-48ce-b0e7-1e7bd2ec2ebc,"Bride of Frankenstein, The (Bride of Frankenstein)","Replacement of Mitral Valve with Synth Sub, Perc Approach",Kipp Mooney,Bluejam
7ae4a938-b0f9-4d64-ab03-88c8bcb4c579,"Yor, the Hunter from the Future","Release Anal Sphincter, Percutaneous Approach",Buiron Massingham,Eayo
57dfbec7-b95e-415c-af20-f18de066d511,Look at Me (Comme une image),"Restriction of Azygos Vein, Percutaneous Endoscopic Approach",Rod Rainsbury,Reallinks
baaa8137-7730-4702-9ca9-a633ab2a27b8,"Myth of the American Sleepover, The","Supplement L Popl Art with Synth Sub, Perc Endo Approach",Jami Hunnicutt,Myworks
d5bb805c-567e-4def-a01c-2c8281baa17a,Effi Briest (Fontane - Effi Briest),"Repair Female Reproductive System in POC, Perc Endo Approach",Crin Dixey,Realbridge
3b747cc3-7197-4530-83f6-660f57b2de67,Pain & Gain,"Repair Pulmonary Valve, Percutaneous Endoscopic Approach",Hakim Arens,Twitterbridge
63962695-1794-499a-8eee-694537007d09,"Secret Life of Walter Mitty, The","Dilation of Face Artery, Percutaneous Endoscopic Approach",Parsifal Skoyles,Voonder
926f8f03-5db6-4241-aa6b-59620693da29,Une étudiante d'aujourd'hui,"Supplement L Up Leg Muscle with Autol Sub, Open Approach",Meridel Earley,Eare
f9b7c91a-a673-47de-99f8-e24f34f7cad8,"Jodorowsky Constellation, The (La constellation Jodorowsky)","Reposition Right Metatarsal-Phalangeal Joint, Perc Approach",Valaree Juden,Jabbersphere
d1082a0a-2cc8-41de-aeaf-073c2a4f9627,Underworld,"Revision of Infusion Device in Up Vein, Perc Endo Approach",Domenico Taile,Brightbean
ba4b3279-1f9a-49e4-9f89-8ff2f7190407,"Sound Barrier, The",Change Brace on Left Foot,Jae Vanyakin,Photospace
9bef6fd0-f5c6-47e3-a3a3-30180e2d82dd,Dracula: Prince of Darkness,Fluoroscopy of Right Pulmonary Artery using H Osm Contrast,Elana Osanne,Jayo
73086f20-e06c-4e8d-b567-f171369ad3da,"Hucksters, The","Repair Nasopharynx, Open Approach",Ferne Urvoy,Quimba
53ede55a-b63c-481b-8680-2d727d4f5c4a,Our Daily Bread (Unser täglich Brot),"Removal of Feeding Dev from Low Intest Tract, Perc Approach",Orlan Cathersides,Shufflester
844f2cee-a980-44a9-a25d-4395ec233b39,Miss Julie,"Drainage of Right Lower Leg Muscle, Open Approach",Monika McLaggan,Twimm
f05f13cf-0387-4279-91a3-f03c430ffbca,V for Vendetta,"Drainage of L Trunk Bursa/Lig, Perc Endo Approach, Diagn",Mariann Heugel,Riffpath
8c068e0a-288e-40ab-9931-0487a2d8fb99,Miss Bala,"Supplement Ascending Colon with Synth Sub, Open Approach",Jerri Neary,Omba
9c670ae1-38b6-446c-9ca7-6b874d40e2f4,"Perfect Man, A","Removal of Infusion Device from Periton Cav, Perc Approach",Violette Martinovsky,Talane
7f805076-b17f-4104-8edd-3205b24c02cc,Only Angels Have Wings,"Introduction of Local Anesthetic into Nose, Extern Approach",Sybil Clemmens,Centizu
93291578-75d1-45f5-932f-81f638f7821c,"Girl, Positive","Drainage of Sternum with Drainage Device, Perc Approach",Raina Barwick,Talane
74affa7e-b6b1-4765-801b-681c66c6e7d8,In a Dark Place,"Revision of Synth Sub in Cerv Disc, Perc Endo Approach",Charisse Goad,Realcube
ddd25217-d62e-41ff-9614-7ba776a859be,Crumb,"Bypass Up Esophag to Duoden w Autol Sub, Perc Endo",Bunnie Braime,Kazu
33d04bd2-4aec-4d59-becc-b3aa473613f3,Krippendorf's Tribe,"Revision of Synth Sub in L Knee Jt, Perc Endo Approach",Travers Andrea,Shuffledrive
9f2a2c16-4edf-49ce-8221-d448004dd6b3,Gone in 60 Seconds,"Dilation of Left Peroneal Artery, Bifurc, Perc Endo Approach",Alene Wickenden,Gabvine
39519bf3-78d3-45a5-bbd8-be14969f4077,Labyrinth,"Drainage of R Less Saphenous with Drain Dev, Perc Approach",Mariya Bennough,Katz
bfb9a80a-914f-4cb9-9c19-1104fb3d62c1,Go Figure (Va savoir),"Extirpate matter from R Subclav Art, Bifurc, Perc",Garfield Heffron,Voonix
9c03025f-7af7-4c9f-be5b-c1ebf17a57d6,My Way to Olympia (Mein Weg nach Olympia),"Removal of Autol Sub from R Toe Phalanx, Perc Approach",Elora Alban,Realbridge
1962be34-557a-45e5-b388-441d45877088,"Boston Strangler, The","Revision of Intraluminal Device in Larynx, Open Approach",Iggie Wynett,Avamba
accd98b2-e9a3-424f-83fa-30374710929d,Tall in the Saddle,"Repair Lumbosacral Plexus, Open Approach",Brandais Doxsey,Voomm
